tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-580,Australian Open,Hard,128,G,20170116,119,104678,29,,Viktor Troicki,R,193,SRB,30.93223819,35,1225,106000,,,Damir Dzumhur,R,172,BIH,24.65982204,78,694,6-4 6-4 2-6 2-6 6-3,5,R128,166,14,2,123,79,57,25,23,5,11,1,8,143,80,57,31,22,10,15
2017-580,Australian Open,Hard,128,G,20170116,120,106043,,,Diego Sebastian Schwartzman,R,170,ARG,24.41889117,54,867,104655,22,,Pablo Cuevas,R,180,URU,31.04175222,22,1780,6-3 6-3 6-0,5,R128,82,6,4,72,42,30,22,12,3,4,7,6,80,44,25,13,12,2,9
2017-580,Australian Open,Hard,128,G,20170116,121,104327,,,Steve Darcis,R,178,BEL,32.84599589,71,707,105032,,,Samuel Groth,R,,AUS,29.24572211,162,355,3-6 6-3 6-2 6-2,5,R128,130,3,0,91,58,48,18,17,1,2,19,8,115,63,44,24,17,5,10
2017-580,Australian Open,Hard,128,G,20170116,122,104312,,,Andreas Seppi,R,190,ITA,32.90349076,89,635,103908,,,Paul Henri Mathieu,R,185,FRA,35.01163587,75,700,6-4 7-6(4) 6-7(3) 7-5,5,R128,185,34,7,159,94,75,38,23,13,14,16,8,148,85,63,38,23,7,10
2017-580,Australian Open,Hard,128,G,20170116,123,106401,14,,Nick Kyrgios,R,193,AUS,21.724846,13,2460,105671,,,Gastao Elias,R,178,POR,26.14647502,77,698,6-1 6-2 6-2,5,R128,84,8,3,64,37,30,21,12,0,0,4,3,67,34,20,13,11,5,11
2017-580,Australian Open,Hard,128,G,20170116,124,104542,12,,Jo Wilfried Tsonga,R,188,FRA,31.75085558,12,2505,106329,,,Thiago Monteiro,L,,BRA,22.63107461,83,664,6-1 6-3 6-7(5) 6-2,5,R128,143,20,5,103,49,43,34,18,3,4,4,8,111,60,39,24,18,7,14
2017-580,Australian Open,Hard,128,G,20170116,125,105583,,,Dusan Lajovic,R,180,SRB,26.54893908,94,627,103565,,,Stephane Robert,R,185,FRA,36.66803559,55,854,6-3 6-3 6-3,5,R128,119,4,4,96,57,42,17,14,7,9,3,5,100,54,29,23,13,7,13
2017-580,Australian Open,Hard,128,G,20170116,126,111575,,,Karen Khachanov,R,,RUS,20.65708419,52,875,105173,,,Adrian Mannarino,L,183,FRA,28.55030801,61,781,6-4 3-6 7-6(9) 6-3,5,R128,166,32,4,126,76,66,25,20,5,6,8,1,142,91,65,29,20,7,10
2017-580,Australian Open,Hard,128,G,20170116,127,106058,23,,Jack Sock,R,185,USA,24.31211499,20,1810,105732,,,Pierre Hugues Herbert,R,188,FRA,25.83436003,73,705,6-4 7-6(4) 6-3,5,R128,132,10,6,105,69,56,15,16,5,6,14,4,104,68,49,16,15,9,12
2017-580,Australian Open,Hard,128,G,20170116,128,106071,27,,Bernard Tomic,R,193,AUS,24.23819302,27,1420,105064,,,Thomaz Bellucci,L,188,BRA,29.04859685,62,771,6-2 6-1 6-4,5,R128,97,12,2,70,44,39,17,13,3,3,10,3,83,53,33,12,12,7,12
2017-580,Australian Open,Hard,128,G,20170116,129,103607,,,Victor Estrella,R,173,DOM,36.45722108,103,586,105379,,,Aljaz Bedene,R,181,GBR,27.49897331,109,547,7-6(7) 7-5 0-6 6-3,5,R128,189,4,6,143,99,63,20,20,9,15,10,8,135,73,51,31,19,5,10
2017-580,Australian Open,Hard,128,G,20170116,130,105554,,,Daniel Evans,R,175,GBR,26.65297741,51,886,105487,,,Facundo Bagnis,L,,ARG,26.88569473,65,739,7-6(8) 6-3 6-1,5,R128,115,14,3,88,53,44,21,14,2,2,11,4,94,50,34,18,14,6,10
2017-580,Australian Open,Hard,128,G,20170116,131,105227,7,,Marin Cilic,R,198,CRO,28.30116359,7,3605,105668,,,Jerzy Janowicz,R,203,POL,26.17659138,273,186,4-6 4-6 6-2 6-2 6-3,5,R128,184,26,8,123,71,60,30,23,2,4,18,7,145,99,63,26,22,6,12
2017-580,Australian Open,Hard,128,G,20170116,132,104792,6,,Gael Monfils,R,193,FRA,30.37645448,6,3625,106210,,,Jiri Vesely,L,,CZE,23.52087611,53,873,6-2 6-3 6-2,5,R128,92,4,3,71,34,27,26,13,2,3,2,8,75,47,28,11,12,6,12
2017-580,Australian Open,Hard,128,G,20170116,133,105238,,,Alexandr Dolgopolov,R,180,UKR,28.19164956,69,715,106432,,,Borna Coric,R,,CRO,20.1724846,59,795,6-3 6-4 3-6 7-6(7),5,R128,177,14,9,132,75,58,29,20,6,9,13,7,134,80,56,26,20,7,11
2017-580,Australian Open,Hard,128,G,20170116,134,105385,,,Donald Young,L,183,USA,27.48528405,85,651,105341,,,Thomas Fabbiano,R,,ITA,27.6440794,141,427,6-4 7-6(1) 6-4,5,R128,150,8,6,118,67,48,23,16,10,14,1,5,114,65,35,27,16,7,13
