tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2013-540,Wimbledon,Grass,128,G,20130624,1,104925,1,,Novak Djokovic,R,188,SRB,26.091718,1,11830,104252,,,Florian Mayer,R,190,GER,29.71937029,34,1175,6-3 7-5 6-4,5,R128,116,5,0,87,55,41,26,16,3,3,3,0,108,65,46,20,15,8,11
2013-540,Wimbledon,Grass,128,G,20130624,2,104035,,Q,Bobby Reynolds,R,183,USA,30.93771389,156,346,105449,,WC,Steve Johnson,R,188,USA,23.49897331,98,556,1-6 7-6(4) 6-3 6-7(4) 6-4,5,R128,200,22,1,154,95,68,38,24,9,11,25,8,181,100,76,39,26,13,16
2013-540,Wimbledon,Grass,128,G,20130624,3,105526,,Q,Jan Lennard Struff,R,,GER,23.16495551,115,489,104882,,,Blaz Kavcic,R,188,SLO,26.30527036,132,427,6-4 6-1 6-3,5,R128,96,20,3,85,50,38,22,13,9,9,7,1,96,56,40,12,13,9,14
2013-540,Wimbledon,Grass,128,G,20130624,4,104871,28,,Jeremy Chardy,R,188,FRA,26.36276523,25,1441,105992,,,Ryan Harrison,R,183,USA,21.13073238,97,556,7-6(4) 4-6 7-5 6-2,5,R128,170,10,6,119,78,66,22,21,2,3,18,2,155,100,70,30,21,14,17
2013-540,Wimbledon,Grass,128,G,20130624,5,103852,,,Feliciano Lopez,L,188,ESP,31.75906913,32,1245,104468,19,,Gilles Simon,R,183,FRA,28.49007529,17,2090,6-2 6-4 7-6(11),5,R128,122,21,2,85,60,55,17,15,0,0,5,6,119,71,49,27,15,7,10
2013-540,Wimbledon,Grass,128,G,20130624,6,103908,,,Paul Henri Mathieu,R,185,FRA,31.44695414,82,616,105575,,,Ricardas Berankis,R,175,LTU,23.00889802,69,711,7-6(4) 7-5 6-7(3) 6-4,5,R128,183,26,4,144,88,73,30,23,7,8,19,10,164,86,73,36,23,7,10
2013-540,Wimbledon,Grass,128,G,20130624,7,104499,,Q,Jimmy Wang,R,178,TPE,28.37234771,151,358,104639,,Q,Wayne Odesnik,L,180,USA,27.58932238,107,534,7-6(5) 4-6 6-2 3-6 7-5,5,R128,233,9,2,151,104,69,22,25,4,12,6,2,174,122,73,28,26,16,25
2013-540,Wimbledon,Grass,128,G,20130624,8,103163,13,,Tommy Haas,R,188,GER,35.22518823,13,2425,104098,,,Dmitry Tursunov,R,185,RUS,30.53251198,65,739,6-3 7-5 7-5,5,R128,121,17,3,98,63,56,18,17,4,4,5,4,95,53,37,24,16,3,6
2013-540,Wimbledon,Grass,128,G,20130624,9,104755,9,,Richard Gasquet,R,185,FRA,27.01711157,9,3135,104719,,,Marcel Granollers,R,190,ESP,27.20054757,41,975,6-7(2) 6-4 7-5 6-4,5,R128,176,8,1,129,84,65,22,22,3,5,11,3,146,105,73,15,22,11,16
2013-540,Wimbledon,Grass,128,G,20130624,10,104424,,Q,Go Soeda,R,178,JPN,28.79945243,129,442,104890,,,Andreas Haider Maurer,R,190,AUT,26.2587269,108,531,7-6(6) 7-5 6-1,5,R128,116,9,2,85,47,39,25,16,0,2,8,6,110,62,43,18,15,4,9
