tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Wimbledon,104925,R,188,SRB,28.10403833,1,13845,104259,R,178,GER,31.70157426,33,1195,6-4 6-4 6-4,R128,,12,1,84,61,46,13,15,7,9,6,4,103,66,42,17,15,7,12
Wimbledon,103813,L,185,FIN,33.93292266,92,564,103720,R,180,AUS,34.34086242,118,465,3-6 6-3 4-6 6-0 11-9,R128,,10,4,172,117,77,26,27,10,17,12,9,182,100,71,31,27,12,22
Wimbledon,105732,R,,FRA,24.28199863,151,353,111202,U,,KOR,19.11019849,79,671,1-6 6-2 3-6 6-2 10-8,R128,,23,17,148,72,56,34,25,9,15,8,9,170,105,73,30,25,13,20
Wimbledon,106071,R,193,AUS,22.68583162,26,1355,105526,R,,GER,25.17727584,112,478,6-3 3-6 2-6 6-2 6-3,R128,,19,3,128,94,65,18,22,7,11,25,15,134,80,61,20,21,9,14
Wimbledon,104919,R,188,ARG,28.12320329,21,1605,106423,R,,AUS,19.21697467,71,723,7-6(7) 7-6(3) 6-4,R128,,15,3,116,75,60,23,17,2,3,5,4,132,81,61,22,17,8,10
Wimbledon,104719,R,190,ESP,29.2128679,72,715,104386,R,180,SRB,31.01711157,486,76,6-3 6-4 6-2,R128,,4,3,105,75,54,12,14,8,9,4,1,89,49,26,23,13,6,11
Wimbledon,104947,R,190,TUR,28.04928131,82,647,105668,R,203,POL,24.62422998,47,975,7-6(4) 6-4 6-7(4) 6-3,R128,,15,4,136,90,73,24,22,2,3,13,7,139,84,64,28,21,3,6
Wimbledon,104731,R,203,RSA,29.11430527,14,2090,106298,R,,FRA,21.34428474,96,539,6-2 7-5 3-6 6-3,R128,,23,9,107,62,54,23,19,5,7,6,8,130,65,47,29,19,5,10
Wimbledon,105227,R,198,CRO,26.74880219,9,3540,105655,R,,JPN,24.7008898,174,294,6-3 6-2 7-6(4),R128,,15,2,89,59,49,15,15,2,3,3,1,91,63,39,13,14,3,7
Wimbledon,105575,R,175,LTU,25.02121834,90,577,104890,R,190,AUT,28.27104723,57,857,6-2 5-2 RET,R128,,5,1,39,22,17,14,7,1,1,5,5,51,30,19,7,8,1,5
Wimbledon,105051,R,188,AUS,27.58932238,148,367,105641,L,,SLO,24.73100616,93,549,6-2 6-1 6-4,R128,,6,2,70,45,36,17,13,0,0,8,3,88,56,33,15,12,8,13
Wimbledon,104545,R,206,USA,30.17385353,17,1890,104424,R,178,JPN,30.81177276,91,575,7-6(5) 6-4 6-4,R128,,38,3,83,68,63,7,16,1,1,2,4,91,47,41,24,16,0,2
Wimbledon,106045,R,180,USA,22.86379192,105,496,104655,R,180,URU,29.48939083,23,1502,6-7(4) 4-6 6-3 6-2 6-2,R128,,14,7,140,75,58,40,24,5,7,9,6,153,76,54,36,23,7,13
Wimbledon,100644,R,,GER,18.19028063,74,689,104559,R,188,RUS,30.09993155,53,882,6-3 1-6 6-3 3-6 9-7,R128,,19,11,183,123,89,23,25,6,11,13,9,156,83,66,34,25,8,13
Wimbledon,105053,R,188,COL,27.58658453,60,790,105154,R,193,BRA,27.08829569,81,650,6-4 6-3 6-2,R128,,7,0,81,56,36,17,14,3,5,7,5,97,53,33,18,13,8,14
Wimbledon,105453,R,178,JPN,25.49760438,5,5660,104620,R,183,ITA,29.72210815,55,871,6-3 6-7(4) 6-2 3-6 6-3,R128,,14,4,138,82,61,38,23,3,4,12,4,153,103,71,26,24,7,12
Wimbledon,104527,R,183,SUI,30.2532512,4,5790,105311,R,,POR,26.2477755,46,986,6-2 7-5 7-6(3),R128,,25,3,93,56,48,23,16,0,0,1,4,108,67,48,18,16,6,9
Wimbledon,103607,R,173,DOM,34.90485969,48,941,103794,R,178,GER,34.03422313,51,905,5-7 6-1 6-4 6-4,R128,,11,6,111,66,54,25,20,5,7,11,7,126,89,65,13,19,7,12
