tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-540,Wimbledon,Grass,128,G,20120625,1,104925,1,,Novak Djokovic,R,188,SRB,25.09514031,1,12280,103507,,,Juan Carlos Ferrero,R,183,ESP,32.36687201,38,1035,6-3 6-3 6-1,5,R128,98,13,3,85,56,47,12,13,7,8,2,2,72,48,27,10,12,5,11
2012-540,Wimbledon,Grass,128,G,20120625,2,105992,,,Ryan Harrison,R,183,USA,20.13415469,48,871,104229,,,Yen Hsun Lu,R,180,TPE,28.86516085,56,795,4-6 6-3 6-4 6-2,5,R128,160,11,1,114,80,62,18,19,5,6,5,3,121,80,56,21,18,7,11
2012-540,Wimbledon,Grass,128,G,20120625,3,103794,,,Benjamin Becker,R,178,GER,31.02532512,124,441,103484,,,James Blake,R,185,USA,32.49281314,91,582,6-7(4) 7-5 6-0 6-4,5,R128,151,27,3,125,87,65,21,20,6,9,5,5,141,88,60,22,20,9,17
2012-540,Wimbledon,Grass,128,G,20120625,4,103285,28,,Radek Stepanek,R,185,CZE,33.57700205,27,1340,104660,,,Sergiy Stakhovsky,R,193,UKR,26.46680356,85,603,6-1 1-0 RET,5,R128,37,1,0,20,12,10,6,4,0,0,0,0,28,18,5,5,4,0,3
2012-540,Wimbledon,Grass,128,G,20120625,5,104678,,,Viktor Troicki,R,193,SRB,26.37097878,34,1190,104719,24,,Marcel Granollers,R,190,ESP,26.20396988,23,1530,7-5 7-6(5) 3-6 2-6 8-6,5,R128,220,15,2,151,100,69,31,27,3,9,7,9,194,123,94,28,28,10,15
2012-540,Wimbledon,Grass,128,G,20120625,6,105373,,,Martin Klizan,L,190,SVK,22.95687885,62,728,103428,,,Juan Ignacio Chela,R,190,ARG,32.82135524,83,620,7-5 3-6 7-6(6) 1-6 11-9,5,R128,293,13,7,190,98,73,47,29,12,18,9,2,210,138,95,40,31,13,18
2012-540,Wimbledon,Grass,128,G,20120625,7,104871,,,Jeremy Chardy,R,188,FRA,25.36618754,57,794,103835,,,Filippo Volandri,R,183,ITA,30.80355921,79,630,6-0 6-1 1-0 RET,5,R128,55,5,0,40,26,20,10,7,1,1,2,0,57,45,22,1,7,5,11
2012-540,Wimbledon,Grass,128,G,20120625,8,104338,15,,Juan Monaco,R,185,ARG,28.24093087,14,2115,104919,,,Leonardo Mayer,R,188,ARG,25.11430527,61,738,6-4 7-6(5) 7-6(5),5,R128,154,3,7,101,73,65,14,17,1,1,6,4,112,73,57,21,17,1,2
2012-540,Wimbledon,Grass,128,G,20120625,9,104597,12,,Nicolas Almagro,R,183,ESP,26.84462697,11,2605,103694,,,Olivier Rochus,R,168,BEL,31.43326489,66,700,6-7(4) 3-6 7-6(4) 6-2 6-4,5,R128,204,48,3,135,81,66,29,25,2,6,4,4,175,114,84,25,26,9,15
2012-540,Wimbledon,Grass,128,G,20120625,10,105558,,Q,Guillaume Rufin,R,188,FRA,22.08350445,168,307,104327,,,Steve Darcis,R,178,BEL,28.28473648,63,725,6-4 3-6 5-7 6-4 6-4,5,R128,221,15,8,179,111,79,26,26,7,14,7,0,145,103,67,24,25,6,13
2012-540,Wimbledon,Grass,128,G,20120625,11,105074,,Q,Ruben Bemelmans,L,,BEL,24.44626968,131,411,104122,,,Carlos Berlocq,R,183,ARG,29.3908282,37,1050,7-5 6-7(4) 6-3 7-6(2),5,R128,211,13,7,152,92,70,32,23,8,10,26,4,149,94,71,23,22,2,6
2012-540,Wimbledon,Grass,128,G,20120625,12,104755,18,,Richard Gasquet,R,185,FRA,26.02053388,19,1600,104735,,,Tobias Kamke,R,180,GER,26.0971937,84,605,6-2 6-2 6-2,5,R128,108,5,4,72,33,27,26,12,3,3,2,6,90,64,38,9,12,5,11
2012-540,Wimbledon,Grass,128,G,20120625,13,104252,31,,Florian Mayer,R,190,GER,28.72279261,29,1230,104098,,,Dmitry Tursunov,R,185,RUS,29.53593429,129,430,7-6(3) 6-2 6-3,5,R128,113,13,2,90,57,50,20,15,4,4,10,2,95,59,39,21,14,6,9
2012-540,Wimbledon,Grass,128,G,20120625,14,104332,,,Philipp Petzschner,R,185,GER,28.25462012,101,534,104882,,,Blaz Kavcic,R,188,SLO,25.30869268,74,657,6-4 6-4 6-2,5,R128,103,14,0,76,59,49,11,14,3,3,8,1,90,61,40,14,14,4,8
2012-540,Wimbledon,Grass,128,G,20120625,15,105668,,Q,Jerzy Janowicz,R,203,POL,21.61533196,136,397,104620,,Q,Simone Bolelli,R,183,ITA,26.71321013,118,461,3-6 6-3 6-3 6-3,5,R128,132,19,1,89,68,57,11,18,0,1,7,5,109,75,55,14,18,5,9
2012-540,Wimbledon,Grass,128,G,20120625,16,105208,,,Ernests Gulbis,R,190,LAT,23.81930185,87,596,104607,6,,Tomas Berdych,R,196,CZE,26.770705,7,4685,7-6(5) 7-6(4) 7-6(4),5,R128,154,30,2,110,79,66,19,18,0,1,13,4,122,72,61,24,18,6,7
2012-540,Wimbledon,Grass,128,G,20120625,17,103819,3,,Roger Federer,R,185,SUI,30.88021903,3,9435,105077,,,Albert Ramos,L,188,ESP,24.43805613,43,935,6-1 6-1 6-1,5,R128,79,9,1,58,40,29,13,11,1,2,0,5,80,46,21,10,10,10,18
2012-540,Wimbledon,Grass,128,G,20120625,18,104926,,,Fabio Fognini,R,178,ITA,25.08966461,68,695,103566,,,Michael Llodra,L,190,FRA,32.10403833,54,810,3-6 6-3 6-4 7-5,5,R128,142,7,1,139,92,60,29,20,7,10,16,3,117,84,59,18,20,5,10
2012-540,Wimbledon,Grass,128,G,20120625,19,103188,,Q,Michael Russell,R,173,USA,34.15195072,112,500,104629,,Q,Adrian Menendez Maceiras,R,,ESP,26.65845311,212,232,6-3 6-1 7-6(7),5,R128,126,7,2,88,66,50,14,14,4,5,2,5,99,57,35,19,14,5,10
2012-540,Wimbledon,Grass,128,G,20120625,20,103898,29,,Julien Benneteau,R,185,FRA,30.51334702,32,1210,104180,,,Gilles Muller,L,193,LUX,29.13073238,53,826,6-2 7-5 7-6(4),5,R128,124,15,3,102,76,62,13,16,6,7,16,1,92,72,53,8,16,5,9
2012-540,Wimbledon,Grass,128,G,20120625,21,104269,17,,Fernando Verdasco,L,188,ESP,28.61054073,16,1765,104499,,Q,Jimmy Wang,R,178,TPE,27.37577002,207,240,7-6(3) 6-4 7-5,5,R128,141,12,6,111,70,53,23,17,6,9,0,4,101,63,45,16,17,6,11
2012-540,Wimbledon,Grass,128,G,20120625,22,104813,,WC,Grega Zemlja,R,183,SLO,25.73853525,120,459,104623,,WC,Josh Goodall,R,188,GBR,26.68856947,215,229,6-4 3-6 7-6(3) 6-4,5,R128,142,19,4,107,72,56,24,20,2,4,21,6,134,74,55,33,21,8,11
2012-540,Wimbledon,Grass,128,G,20120625,23,103598,,,Xavier Malisse,R,185,BEL,31.93429158,75,651,104594,,,Marinko Matosevic,R,194,AUS,26.88021903,72,673,6-2 6-2 7-5,5,R128,93,14,2,87,59,49,10,14,3,4,1,3,77,44,28,14,14,5,11
2012-540,Wimbledon,Grass,128,G,20120625,24,104468,13,,Gilles Simon,R,183,FRA,27.4934976,13,2525,103908,,,Paul Henri Mathieu,R,185,FRA,30.45037645,176,287,6-3 5-4 RET,5,R128,84,7,4,63,39,31,10,9,5,6,3,2,59,28,23,12,9,6,9
2012-540,Wimbledon,Grass,128,G,20120625,25,104268,,,Alejandro Falla,L,185,COL,28.61327858,73,664,104545,11,,John Isner,R,206,USA,27.16495551,10,2655,6-4 6-7(7) 3-6 7-6(7) 7-5,5,R128,192,4,4,169,112,89,38,28,7,9,31,4,158,121,99,23,27,3,5
2012-540,Wimbledon,Grass,128,G,20120625,26,103917,,,Nicolas Mahut,R,190,FRA,30.4257358,71,684,103893,,,Paolo Lorenzi,R,183,ITA,30.52703628,86,598,6-3 5-7 6-7(3) 7-5 6-2,5,R128,231,20,2,173,118,94,24,27,9,11,8,3,161,103,76,29,26,4,9
2012-540,Wimbledon,Grass,128,G,20120625,27,104214,,,Igor Andreev,R,185,RUS,28.95003422,93,575,106244,,WC,Oliver Golding,R,,GBR,18.73785079,491,68,1-6 7-6(4) 7-6(7) 7-5,5,R128,184,10,3,129,85,63,26,21,1,4,17,10,154,109,83,19,22,5,7
2012-540,Wimbledon,Grass,128,G,20120625,28,104797,,,Denis Istomin,R,188,UZB,25.79876797,39,1032,104312,23,,Andreas Seppi,R,190,ITA,28.34223135,26,1390,6-7(2) 6-4 3-6 6-3 8-6,5,R128,206,13,3,191,125,93,32,27,14,18,8,6,146,87,61,38,27,0,6
2012-540,Wimbledon,Grass,128,G,20120625,29,104022,26,,Mikhail Youzhny,R,183,RUS,30.00136893,33,1210,105385,,,Donald Young,L,183,USA,22.92402464,51,834,4-6 6-3 6-2 6-3,5,R128,142,4,4,92,63,45,12,18,3,9,2,3,127,77,40,20,18,9,19
2012-540,Wimbledon,Grass,128,G,20120625,30,105438,,Q,Inigo Cervantes Huegun,R,,ESP,22.56810404,152,354,104262,,,Flavio Cipolla,R,173,ITA,28.68172485,89,591,2-6 6-7(4) 6-3 6-2 6-1,5,R128,212,7,2,133,73,52,32,22,2,6,1,4,143,93,58,22,22,3,11
2012-540,Wimbledon,Grass,128,G,20120625,31,104976,,Q,Ryan Sweeting,R,196,USA,24.95003422,130,413,103808,,,Potito Starace,R,188,ITA,30.9486653,97,558,6-2 2-0 RET,5,R128,49,5,2,34,23,19,6,5,3,3,1,1,41,22,15,5,5,2,5
2012-540,Wimbledon,Grass,128,G,20120625,32,104386,8,,Janko Tipsarevic,R,180,SRB,28.00821355,8,3200,103900,,,David Nalbandian,R,180,ARG,30.48049281,40,1015,6-4 7-6(4) 6-2,5,R128,148,18,3,112,65,50,24,15,8,9,10,3,95,53,38,20,15,5,9
2012-540,Wimbledon,Grass,128,G,20120625,33,103970,7,,David Ferrer,R,175,ESP,30.23134839,5,5250,104460,,Q,Dustin Brown,R,196,GER,27.54551677,164,317,7-6(5) 6-4 6-4,5,R128,116,4,1,100,69,53,21,16,3,3,9,7,113,73,57,16,16,3,5
2012-540,Wimbledon,Grass,128,G,20120625,34,104932,,Q,Kenny De Schepper,L,203,FRA,25.07597536,160,331,104897,,,Matthias Bachinger,R,188,GER,25.23203285,110,507,6-4 6-2 6-2,5,R128,88,15,1,76,52,43,14,13,1,1,7,3,75,47,32,11,13,5,10
2012-540,Wimbledon,Grass,128,G,20120625,35,103451,,,Bjorn Phau,R,175,GER,32.72553046,88,595,104639,,LL,Wayne Odesnik,L,180,USA,26.5927447,135,404,6-3 3-6 6-7(3) 6-3 6-4,5,R128,205,15,11,166,102,78,31,25,10,14,6,5,153,97,66,29,24,6,12
2012-540,Wimbledon,Grass,128,G,20120625,36,104053,30,,Andy Roddick,R,188,USA,29.82067077,25,1395,104779,,WC,Jamie Baker,R,,GBR,25.88911704,186,275,7-6(1) 6-4 7-5,5,R128,181,14,1,130,97,70,17,17,5,5,6,2,107,67,49,20,17,7,9
2012-540,Wimbledon,Grass,128,G,20120625,37,105453,19,,Kei Nishikori,R,178,JPN,22.48870637,20,1600,105062,,,Mikhail Kukushkin,R,183,KAZ,24.49828884,52,833,7-5 6-3 6-4,5,R128,140,1,3,95,61,44,18,16,6,9,4,6,99,56,40,17,15,6,12
2012-540,Wimbledon,Grass,128,G,20120625,38,103722,,Q,Florent Serra,R,180,FRA,31.321013,137,392,105723,,Q,Andrey Kuznetsov,R,185,RUS,21.33880903,151,355,3-6 7-6(3) 6-4 4-6 6-4,5,R128,184,7,6,171,108,74,32,26,11,17,19,7,156,94,72,30,25,7,12
2012-540,Wimbledon,Grass,128,G,20120625,39,104424,,,Go Soeda,R,178,JPN,27.80287474,58,787,103857,,,Igor Kunitsyn,R,180,RUS,30.73511294,116,468,6-3 6-2 6-1,5,R128,103,9,6,75,33,23,28,12,2,3,3,0,72,53,27,6,12,6,13
2012-540,Wimbledon,Grass,128,G,20120625,40,105223,9,,Juan Martin Del Potro,R,198,ARG,23.75359343,9,3180,104898,,,Robin Haase,R,190,NED,25.22108145,41,1010,6-4 3-6 7-6(3) 7-5,5,R128,170,16,2,121,79,63,22,21,2,5,18,1,131,82,65,22,22,3,7
2012-540,Wimbledon,Grass,128,G,20120625,41,105227,16,,Marin Cilic,R,198,CRO,23.73990418,18,1655,105649,,,Cedrik Marcel Stebe,L,183,GER,21.71115674,77,645,6-4 3-6 6-3 6-2,5,R128,183,7,3,138,88,59,21,18,12,16,4,4,115,67,42,21,18,6,13
2012-540,Wimbledon,Grass,128,G,20120625,42,103997,,,Lukasz Kubot,R,190,POL,30.11088296,49,855,105147,,,Tatsuma Ito,R,180,JPN,24.10403833,65,701,7-6(6) 6-3 6-3,5,R128,128,9,3,92,65,46,15,15,2,5,3,2,108,73,40,20,15,4,10
2012-540,Wimbledon,Grass,128,G,20120625,43,105023,,,Sam Querrey,R,198,USA,24.71731691,64,705,105577,,,Vasek Pospisil,R,193,CAN,22.00684463,104,522,7-5 6-7(5) 6-3 6-4,5,R128,161,19,4,132,78,69,28,22,5,6,17,5,137,77,52,37,21,6,10
2012-540,Wimbledon,Grass,128,G,20120625,44,105683,21,,Milos Raonic,R,196,CAN,21.49486653,22,1540,105053,,,Santiago Giraldo,R,188,COL,24.57768652,45,923,6-4 6-4 6-4,5,R128,91,20,3,81,53,50,16,15,2,2,5,1,84,57,38,17,15,1,4
2012-540,Wimbledon,Grass,128,G,20120625,45,105777,,,Grigor Dimitrov,R,188,BUL,21.11156742,69,691,104731,32,,Kevin Anderson,R,203,RSA,26.10540726,31,1215,7-5 7-6(3) 6-7(4) 6-3,5,R128,209,24,0,167,105,84,32,23,11,11,20,4,157,117,84,21,22,5,7
2012-540,Wimbledon,Grass,128,G,20120625,46,104571,,,Marcos Baghdatis,R,183,CYP,27.02258727,42,945,103656,,,Albert Montanes,R,175,ESP,31.57837098,90,585,6-2 6-4 6-4,5,R128,83,12,3,74,45,34,14,14,1,4,1,2,82,66,33,7,14,6,13
2012-540,Wimbledon,Grass,128,G,20120625,47,103333,,,Ivo Karlovic,R,208,CRO,33.32238193,59,786,104534,,,Dudi Sela,R,175,ISR,27.22518823,108,509,6-4 6-4 7-6(5),5,R128,116,26,3,89,62,56,14,16,4,5,2,4,106,57,41,27,16,6,9
2012-540,Wimbledon,Grass,128,G,20120625,48,104918,4,,Andy Murray,R,190,GBR,25.11430527,4,6980,103786,,,Nikolay Davydenko,R,178,RUS,31.06365503,47,885,6-1 6-1 6-4,5,R128,95,10,1,60,40,33,15,12,0,0,4,3,79,42,25,14,12,7,13
2012-540,Wimbledon,Grass,128,G,20120625,49,104542,5,,Jo Wilfried Tsonga,R,188,FRA,27.18959617,6,5230,103720,,WC,Lleyton Hewitt,R,180,AUS,31.33196441,202,245,6-3 6-4 6-4,5,R128,118,21,3,88,61,50,16,15,8,8,1,3,86,51,33,18,14,4,7
2012-540,Wimbledon,Grass,128,G,20120625,50,104198,,,Guillermo Garcia Lopez,R,188,ESP,29.05954825,92,581,104273,,,Edouard Roger Vasselin,R,188,FRA,28.57494867,67,697,6-7(2) 6-3 7-6(4) 5-7 10-8,5,R128,288,18,6,196,112,90,43,32,10,15,6,4,211,140,98,39,31,6,12
2012-540,Wimbledon,Grass,128,G,20120625,51,105041,,,Lukas Lacko,R,185,SVK,24.64339494,60,763,104494,,,Adrian Ungur,R,178,ROU,27.41409993,81,625,7-6(4) 6-1 6-3,5,R128,100,9,1,92,60,50,17,14,1,2,3,6,96,62,37,18,14,4,9
2012-540,Wimbledon,Grass,128,G,20120625,52,103781,,,Jurgen Melzer,L,183,AUT,31.09377139,35,1147,104527,25,,Stanislas Wawrinka,R,183,SUI,27.24435318,24,1505,3-6 7-6(2) 2-6 6-4 8-6,5,R128,209,1,10,165,96,68,37,26,6,12,20,14,165,84,62,44,27,4,9
