tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Australian Open,104926,R,178,ITA,26.64202601,16,1930,103813,L,185,FIN,32.47638604,39,1090,7-5 6-4 3-6 6-2,R64,167,9,12,146,88,66,26,19,14,16,3,5,132,86,57,23,20,10,15
Australian Open,105023,R,198,USA,26.2696783,51,915,105208,R,190,LAT,25.37166324,24,1418,6-2 6-3 6-4,R64,97,19,4,71,51,45,11,14,2,3,7,4,76,35,23,21,13,4,9
Australian Open,104797,R,188,UZB,27.35112936,49,945,104098,R,185,RUS,31.08829569,26,1314,7-6(3) 4-6 6-1 6-4,R64,164,14,1,118,66,48,35,20,7,10,5,5,115,62,45,26,19,3,8
Australian Open,104925,R,188,SRB,26.64750171,2,12260,104919,R,188,ARG,26.66666667,98,579,6-0 6-4 6-4,R64,107,12,2,67,44,36,17,13,0,0,3,7,85,44,28,17,13,1,6
Australian Open,104745,L,185,ESP,27.61396304,1,13130,104792,R,193,FRA,27.36755647,32,1245,6-1 6-2 6-3,R32,124,2,0,79,52,38,20,12,6,6,10,5,98,67,38,11,12,6,12
Australian Open,105453,R,178,JPN,24.04106776,17,1915,105385,L,183,USA,24.47638604,91,595,7-5 6-1 6-0,R32,107,3,1,76,41,29,21,12,3,4,1,5,73,47,23,7,13,4,12
Australian Open,105777,R,188,BUL,22.66392882,22,1460,105683,R,196,CAN,23.04722793,11,2860,6-3 3-6 6-4 7-6(10),R32,156,15,5,110,67,56,32,20,2,3,21,5,125,74,55,30,20,2,4
Australian Open,105138,R,,ESP,25.74948665,62,750,105332,R,196,FRA,24.6844627,28,1300,6-2 6-1 6-4,R32,90,4,1,78,65,46,7,13,5,7,14,3,83,48,30,10,12,13,20
Australian Open,104918,R,190,GBR,26.66666667,4,5560,103852,L,188,ESP,32.31485284,27,1310,7-6(2) 6-4 6-2,R32,135,6,2,91,58,50,16,15,0,1,8,7,99,57,40,19,15,7,11
Australian Open,103565,R,185,FRA,33.65913758,119,479,105373,L,190,SVK,24.50924025,106,518,6-0 7-6(2) 6-4,R32,105,7,5,87,63,54,11,14,3,3,6,4,93,49,32,21,14,6,10
